id_str,created_at,text,user.screen_name,user.lang,coordinates.coordinates
"1007777875104165888","Sat Jun 16 00:12:23 +0000 2018","Giving your children responsibilities around the house is good for their future. https://t.co/MX44SjgHGr https://t.co/XpWqKibRWG","matt_steinau","en",
"1007777876878479361","Sat Jun 16 00:12:24 +0000 2018","RT @adriandt31: Rep. Steve Scalise Joins President Trump in Opposition to Paul Ryan’s Historic Amnesty Plan\n\nSpeaker Paul Ryan’s amnesty pl…","RickMarineGrunt","en",
"1007777877012701185","Sat Jun 16 00:12:24 +0000 2018","RT @WashTimes: ""One thing is for sure, in the near future, Palestinians will still try to kill Jews, and Israel will still keep the Temple…","joseracostas","es",
"1007777879277514752","Sat Jun 16 00:12:24 +0000 2018","I got the job!! Working for an amazing company that I’ve wanted to work for ever since I was first licensed.\nThis i… https://t.co/qjTj5eAT2M","Worried_Mother4","en",
"1007777880447651840","Sat Jun 16 00:12:24 +0000 2018","RT @Total_Bellas: No matter what the future holds, the @BellaTwins will face it together. Be there with Nikki and Brie for every twist and…","Kevin_Harvey15","en",
"1007777883731963904","Sat Jun 16 00:12:25 +0000 2018","RT @hiwabusally: If y’all see me driving a 6 figure plus car in the future don’t get jealous of me, understand how hard I had to work to ge…","Officialsamaarr","en",
"1007777884214185985","Sat Jun 16 00:12:25 +0000 2018","Tell @SecretaryZinke to protect the Arctic National Wildlife Refuge for future generations #Arctic https://t.co/cef8HLQzZq","RANGER529AOLCOM","en",
"1007777887318093826","Sat Jun 16 00:12:26 +0000 2018","RT @PowerTrippinPod: Nicki Minaj and Future going on tour together #PowerTrippin","chevyced","en",
"1007777888274350080","Sat Jun 16 00:12:26 +0000 2018","RT @iam_maniya: It’s not a day I don’t think about my future 🙌🏾","DanielleShai","en",
"1007777888530239488","Sat Jun 16 00:12:26 +0000 2018","RT @Wensland: #micronations Wenslandish schools will enforce a dress code in the future. The majority of the Wenslandish senate agrees that…","themicronations","en",
"1007777889436225536","Sat Jun 16 00:12:27 +0000 2018","RT @chrislhayes: This is *exactly* my fear. It is genuinely an open question whether the relevant agencies have the processes in place to t…","iaminthemoody","en",
"1007777889410928640","Sat Jun 16 00:12:27 +0000 2018","Don’t miss the opportunity to join the future of cryptotrading!\n@qurrex #ICO","Agus_Witastra","en",
"1007777891071995904","Sat Jun 16 00:12:27 +0000 2018","RT @DalaiLama: I always consider that the shape of the future is in our hands. The past is past and can’t be changed, but the future has no…","Alejand36814990","es",
"1007777891592130560","Sat Jun 16 00:12:27 +0000 2018","RT @chrislhayes: This is *exactly* my fear. It is genuinely an open question whether the relevant agencies have the processes in place to t…","PerenichFL12","en",
